#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"115,682,370",+14,"1,533,239",,"110,142,624","+3,281","4,006,507","8,467",,,,,,North America,,,,,,,
,,Asia,,"188,085,078","+128,137","1,476,288",+257,"181,865,607","+205,691","4,743,183","11,197",,,,,,Asia,,,,,,,
,,Europe,,"224,718,619","+68,641","1,915,384",+151,"218,821,968","+126,160","3,981,267","8,953",,,,,,Europe,,,,,,,
,,South America,,"63,957,661","+1,602","1,328,280",,"62,142,054","+4,617","487,327","10,304",,,,,,South America,,,,,,,
,,Oceania,,"12,304,377","+2,537","20,460",+8,"12,120,727","+1,474","163,190",108,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,635,040",+17,"257,534",,"11,981,199",+81,"396,307","1,018",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"617,383,866","+200,948","6,531,200",+416,"597,074,885","+341,304","13,777,781","40,047","79,205",837.9,,,,All,,,,,,,
1,USA,"97,509,436",,"1,078,663 ",,"93,968,872",,"2,461,901","3,264","291,065","3,220","1,110,923,905","3,316,099","335,009,318 ",North America,33110,,,"7,349"
2,India,"44,539,046",,"528,355 ",,"43,962,664",,"48,027",698,"31,588",375,"891,577,185","632,334","1,409,977,152 ",Asia,"322,6692",,,34
3,France,"34,916,384",,"154,672 ",,"34,327,931",,"433,781",869,"532,323","2,358","271,490,188","4,139,045","65,592,476 ",Europe,24240,,,"6,613"
4,Brazil,"34,629,759",,"685,422 ",,"33,706,231",,"238,106","8,318","160,399","3,175","63,776,166","295,401","215,896,997 ",South America,63153,,,"1,103"
5,Germany,"32,680,355",,"148,933 ",,"31,949,200","+45,800","582,222","1,406","387,320","1,765","122,332,384","1,449,855","84,375,598 ",Europe,35671,,,"6,900"
6,S. Korea,"24,413,873","+19,407","27,867 ",+39,"23,300,069","+81,453","1,085,937",508,"475,287",543,"15,804,065","307,672","51,366,616 ",Asia,"21,8433",378,0.8,"21,141"
7,UK,"23,585,305",,"189,484 ",,"23,303,056","+5,148","92,765",146,"343,440","2,759","522,526,476","7,608,835","68,673,654 ",Europe,33620,,,"1,351"
8,Italy,"22,169,273","+8,257","176,609 ",+31,"21,565,442","+9,058","427,222",151,"367,860","2,931","244,965,453","4,064,768","60,265,537 ",Europe,33410,137,0.5,"7,089"
9,Japan,"20,699,467","+63,620","43,754 ",+82,"19,788,608","+71,641","867,105",300,"164,776",348,"75,155,424","598,268","125,621,730 ",Asia,"62,8712",506,0.7,"6,903"
10,Russia,"20,488,583","+49,488","386,136 ",+91,"19,425,631","+38,595","676,816","2,300","140,263","2,643","273,400,000","1,871,672","146,072,636 ",Europe,73781,339,0.6,"4,633"
